p,o,a,b,c
97,+,78480,16,23
97,+,78480,17,24
97,+,78480,18,25
97,+,78480,19,26
97,+,78480,20,27
97,+,78480,21,28
97,+,78480,22,29
97,+,78480,23,30
97,+,78480,24,31
97,+,78480,25,32
97,+,78480,26,33
97,+,78480,27,34
97,+,78480,28,35
97,+,78480,29,36
97,+,78480,30,37
97,+,78480,31,38
97,+,78480,32,39
97,+,78480,33,40
97,+,78480,34,41
97,+,78480,35,42
97,+,78480,36,43
97,+,78480,37,44
97,+,78480,38,45
97,+,78480,39,46
97,+,78480,40,47
97,+,78480,41,48
97,+,78480,42,49
97,+,78480,43,50
97,+,78480,44,51
97,+,78480,45,52
97,+,78480,46,53
97,+,78480,47,54
97,+,78480,48,55
97,+,78480,49,56
97,+,78480,50,57
97,+,78480,51,58
97,+,78480,52,59
97,+,78480,53,60
97,+,78480,54,61
97,+,78480,55,62
97,+,78480,56,63
97,+,78480,57,64
97,+,78480,58,65
97,+,78480,59,66
97,+,78480,60,67
97,+,78480,61,68
97,+,78480,62,69
97,+,78480,63,70
97,+,78480,64,71
97,+,78480,65,72
97,+,78480,66,73
97,+,78480,67,74
97,+,78480,68,75
97,+,78480,69,76
97,+,78480,70,77
97,+,78480,71,78
97,+,78480,72,79
97,+,78480,73,80
97,+,78480,74,81
97,+,78480,75,82
97,+,78480,76,83
97,+,78480,77,84
97,+,78480,78,85
97,+,78480,79,86
97,+,78480,80,87
97,+,78480,81,88
97,+,78480,82,89
97,+,78480,83,90
97,+,78480,84,91
97,+,78480,85,92
97,+,78480,86,93
97,+,78480,87,94
97,+,78480,88,95
97,+,78480,89,96
97,+,78480,90,0
97,+,78480,91,1
97,+,78480,92,2
97,+,78480,93,3
97,+,78480,94,4
97,+,78480,95,5
97,+,78480,96,6
97,+,78480,97,7
97,+,39855,0,85
97,+,39855,1,86
97,+,39855,2,87
97,+,39855,3,88
97,+,39855,4,89
97,+,39855,5,90
97,+,39855,6,91
97,+,39855,7,92
97,+,39855,8,93
97,+,39855,9,94
97,+,39855,10,95
97,+,39855,11,96
97,+,39855,12,0
97,+,39855,13,1
97,+,39855,14,2
97,+,39855,15,3
97,+,39855,16,4
97,+,39855,17,5
97,+,39855,18,6
97,+,39855,19,7
97,+,39855,20,8
97,+,39855,21,9
97,+,39855,22,10
97,+,39855,23,11
97,+,39855,24,12
97,+,39855,25,13
97,+,39855,26,14
97,+,39855,27,15
97,+,39855,28,16
97,+,39855,29,17
97,+,39855,30,18
97,+,39855,31,19
97,+,39855,32,20
97,+,39855,33,21
97,+,39855,34,22
97,+,39855,35,23
97,+,39855,36,24
97,+,39855,37,25
97,+,39855,38,26
97,+,39855,39,27
97,+,39855,40,28
97,+,39855,41,29
97,+,39855,42,30
97,+,39855,43,31
97,+,39855,44,32
97,+,39855,45,33
97,+,39855,46,34
97,+,39855,47,35
97,+,39855,48,36
97,+,39855,49,37
97,+,39855,50,38
97,+,39855,51,39
97,+,39855,52,40
97,+,39855,53,41
97,+,39855,54,42
97,+,39855,55,43
97,+,39855,56,44
97,+,39855,57,45
97,+,39855,58,46
97,+,39855,59,47
97,+,39855,60,48
97,+,39855,61,49
97,+,39855,62,50
97,+,39855,63,51
97,+,39855,64,52
97,+,39855,65,53
97,+,39855,66,54
97,+,39855,67,55
97,+,39855,68,56
97,+,39855,69,57
97,+,39855,70,58
97,+,39855,71,59
97,+,39855,72,60
97,+,39855,73,61
97,+,39855,74,62
97,+,39855,75,63
97,+,39855,76,64
97,+,39855,77,65
97,+,39855,78,66
97,+,39855,79,67
97,+,39855,80,68
97,+,39855,81,69
97,+,39855,82,70
97,+,39855,83,71
97,+,39855,84,72
97,+,39855,85,73
97,+,39855,86,74
97,+,39855,87,75
97,+,39855,88,76
97,+,39855,89,77
97,+,39855,90,78
97,+,39855,91,79
97,+,39855,92,80
97,+,39855,93,81
97,+,39855,94,82
97,+,39855,95,83
97,+,39855,96,84
97,+,39855,97,85
97,+,59127,0,54
97,+,59127,1,55
97,+,59127,2,56
97,+,59127,3,57
97,+,59127,4,58
97,+,59127,5,59
97,+,59127,6,60
97,+,59127,7,61
97,+,59127,8,62
97,+,59127,9,63
97,+,59127,10,64
97,+,59127,11,65
97,+,59127,12,66
97,+,59127,13,67
97,+,59127,14,68
97,+,59127,15,69
97,+,59127,16,70
97,+,59127,17,71
97,+,59127,18,72
97,+,59127,19,73
97,+,59127,20,74
97,+,59127,21,75
97,+,59127,22,76
97,+,59127,23,77
97,+,59127,24,78
97,+,59127,25,79
97,+,59127,26,80
97,+,59127,27,81
97,+,59127,28,82
97,+,59127,29,83
97,+,59127,30,84
97,+,59127,31,85
97,+,59127,32,86
97,+,59127,33,87
97,+,59127,34,88
97,+,59127,35,89
97,+,59127,36,90
97,+,59127,37,91
97,+,59127,38,92
97,+,59127,39,93
97,+,59127,40,94
97,+,59127,41,95
97,+,59127,42,96
97,+,59127,43,0
97,+,59127,44,1
97,+,59127,45,2
97,+,59127,46,3
97,+,59127,47,4
97,+,59127,48,5
97,+,59127,49,6
97,+,59127,50,7
97,+,59127,51,8
97,+,59127,52,9
97,+,59127,53,10
97,+,59127,54,11
97,+,59127,55,12
97,+,59127,56,13
97,+,59127,57,14
97,+,59127,58,15
97,+,59127,59,16
97,+,59127,60,17
97,+,59127,61,18
97,+,59127,62,19
97,+,59127,63,20
97,+,59127,64,21
97,+,59127,65,22
97,+,59127,66,23
97,+,59127,67,24
97,+,59127,68,25
97,+,59127,69,26
97,+,59127,70,27
97,+,59127,71,28
97,+,59127,72,29
97,+,59127,73,30
97,+,59127,74,31
97,+,59127,75,32
97,+,59127,76,33
97,+,59127,77,34
97,+,59127,78,35
97,+,59127,79,36
97,+,59127,80,37
97,+,59127,81,38
97,+,59127,82,39
97,+,59127,83,40
97,+,59127,84,41
97,+,59127,85,42
97,+,59127,86,43
97,+,59127,87,44
97,+,59127,88,45
97,+,59127,89,46
97,+,59127,90,47
97,+,59127,91,48
97,+,59127,92,49
97,+,59127,93,50
97,+,59127,94,51
97,+,59127,95,52
97,+,59127,96,53
97,+,59127,97,54
97,+,61954,0,68
97,+,61954,1,69
97,+,61954,2,70
97,+,61954,3,71
97,+,61954,4,72
97,+,61954,5,73
97,+,61954,6,74
97,+,61954,7,75
97,+,61954,8,76
97,+,61954,9,77
97,+,61954,10,78
97,+,61954,11,79
97,+,61954,12,80
97,+,61954,13,81
97,+,61954,14,82
97,+,61954,15,83
97,+,61954,16,84
97,+,61954,17,85
97,+,61954,18,86
97,+,61954,19,87
97,+,61954,20,88
97,+,61954,21,89
97,+,61954,22,90
97,+,61954,23,91
97,+,61954,24,92
97,+,61954,25,93
97,+,61954,26,94
97,+,61954,27,95
97,+,61954,28,96
97,+,61954,29,0
97,+,61954,30,1
97,+,61954,31,2
97,+,61954,32,3
97,+,61954,33,4
97,+,61954,34,5
97,+,61954,35,6
97,+,61954,36,7
97,+,61954,37,8
97,+,61954,38,9
97,+,61954,39,10
97,+,61954,40,11
97,+,61954,41,12
97,+,61954,42,13
97,+,61954,43,14
97,+,61954,44,15
97,+,61954,45,16
97,+,61954,46,17
97,+,61954,47,18
97,+,61954,48,19
97,+,61954,49,20
97,+,61954,50,21
97,+,61954,51,22
97,+,61954,52,23
97,+,61954,53,24
97,+,61954,54,25
97,+,61954,55,26
97,+,61954,56,27
97,+,61954,57,28
97,+,61954,58,29
97,+,61954,59,30
97,+,61954,60,31
97,+,61954,61,32
97,+,61954,62,33
97,+,61954,63,34
97,+,61954,64,35
97,+,61954,65,36
97,+,61954,66,37
97,+,61954,67,38
97,+,61954,68,39
97,+,61954,69,40
97,+,61954,70,41
97,+,61954,71,42
97,+,61954,72,43
97,+,61954,73,44
97,+,61954,74,45
97,+,61954,75,46
97,+,61954,76,47
97,+,61954,77,48
97,+,61954,78,49
97,+,61954,79,50
97,+,61954,80,51
97,+,61954,81,52
97,+,61954,82,53
97,+,61954,83,54
97,+,61954,84,55
97,+,61954,85,56
97,+,61954,86,57
97,+,61954,87,58
97,+,61954,88,59
97,+,61954,89,60
97,+,61954,90,61
97,+,61954,91,62
97,+,61954,92,63
97,+,61954,93,64
97,+,61954,94,65
97,+,61954,95,66
97,+,61954,96,67
97,+,61954,97,68
97,+,29432,0,41
97,+,29432,1,42
97,+,29432,2,43
97,+,29432,3,44
97,+,29432,4,45
97,+,29432,5,46
97,+,29432,6,47
97,+,29432,7,48
97,+,29432,8,49
97,+,29432,9,50
97,+,29432,10,51
97,+,29432,11,52
97,+,29432,12,53
97,+,29432,13,54
97,+,29432,14,55
97,+,29432,15,56
97,+,29432,16,57
97,+,29432,17,58
97,+,29432,18,59
97,+,29432,19,60
97,+,29432,20,61
97,+,29432,21,62
97,+,29432,22,63
97,+,29432,23,64
97,+,29432,24,65
97,+,29432,25,66
97,+,29432,26,67
97,+,29432,27,68
97,+,29432,28,69
97,+,29432,29,70
97,+,29432,30,71
97,+,29432,31,72
97,+,29432,32,73
97,+,29432,33,74
97,+,29432,34,75
97,+,29432,35,76
97,+,29432,36,77
97,+,29432,37,78
97,+,29432,38,79
97,+,29432,39,80
97,+,29432,40,81
97,+,29432,41,82
97,+,29432,42,83
97,+,29432,43,84
97,+,29432,44,85
97,+,29432,45,86
97,+,29432,46,87
97,+,29432,47,88
97,+,29432,48,89
97,+,29432,49,90
97,+,29432,50,91
97,+,29432,51,92
97,+,29432,52,93
97,+,29432,53,94
97,+,29432,54,95
97,+,29432,55,96
97,+,29432,56,0
97,+,29432,57,1
97,+,29432,58,2
97,+,29432,59,3
97,+,29432,60,4
97,+,29432,61,5
97,+,29432,62,6
97,+,29432,63,7
97,+,29432,64,8
97,+,29432,65,9
97,+,29432,66,10
97,+,29432,67,11
97,+,29432,68,12
97,+,29432,69,13
97,+,29432,70,14
97,+,29432,71,15
97,+,29432,72,16
97,+,29432,73,17
97,+,29432,74,18
97,+,29432,75,19
97,+,29432,76,20
97,+,29432,77,21
97,+,29432,78,22
97,+,29432,79,23
97,+,29432,80,24
97,+,29432,81,25
97,+,29432,82,26
97,+,29432,83,27
97,+,29432,84,28
97,+,29432,85,29
97,+,29432,86,30
97,+,29432,87,31
97,+,29432,88,32
97,+,29432,89,33
97,+,29432,90,34
97,+,29432,91,35
97,+,29432,92,36
97,+,29432,93,37
97,+,29432,94,38
97,+,29432,95,39
97,+,29432,96,40
97,+,29432,97,41
97,+,36556,0,84
97,+,36556,1,85
97,+,36556,2,86
97,+,36556,3,87
97,+,36556,4,88
97,+,36556,5,89
97,+,36556,6,90
97,+,36556,7,91
97,+,36556,8,92
97,+,36556,9,93
97,+,36556,10,94
97,+,36556,11,95
97,+,36556,12,96
97,+,36556,13,0
97,+,36556,14,1
97,+,36556,15,2
97,+,36556,16,3
97,+,36556,17,4
97,+,36556,18,5
97,+,36556,19,6
97,+,36556,20,7
97,+,36556,21,8
97,+,36556,22,9
97,+,36556,23,10
97,+,36556,24,11
97,+,36556,25,12
97,+,36556,26,13
97,+,36556,27,14
97,+,36556,28,15
97,+,36556,29,16
97,+,36556,30,17
97,+,36556,31,18
97,+,36556,32,19
97,+,36556,33,20
97,+,36556,34,21
97,+,36556,35,22
97,+,36556,36,23
97,+,36556,37,24
97,+,36556,38,25
97,+,36556,39,26
97,+,36556,40,27
97,+,36556,41,28
97,+,36556,42,29
97,+,36556,43,30
97,+,36556,44,31
97,+,36556,45,32
97,+,36556,46,33
97,+,36556,47,34
97,+,36556,48,35
97,+,36556,49,36
97,+,36556,50,37
97,+,36556,51,38
97,+,36556,52,39
97,+,36556,53,40
97,+,36556,54,41
97,+,36556,55,42
97,+,36556,56,43
97,+,36556,57,44
97,+,36556,58,45
97,+,36556,59,46
97,+,36556,60,47
97,+,36556,61,48
97,+,36556,62,49
97,+,36556,63,50
97,+,36556,64,51
97,+,36556,65,52
97,+,36556,66,53
97,+,36556,67,54
97,+,36556,68,55
97,+,36556,69,56
97,+,36556,70,57
97,+,36556,71,58
97,+,36556,72,59
97,+,36556,73,60
97,+,36556,74,61
97,+,36556,75,62
97,+,36556,76,63
97,+,36556,77,64
97,+,36556,78,65
97,+,36556,79,66
97,+,36556,80,67
97,+,36556,81,68
97,+,36556,82,69
97,+,36556,83,70
97,+,36556,84,71
97,+,36556,85,72
97,+,36556,86,73
97,+,36556,87,74
97,+,36556,88,75
97,+,36556,89,76
97,+,36556,90,77
97,+,36556,91,78
97,+,36556,92,79
97,+,36556,93,80
97,+,36556,94,81
97,+,36556,95,82
97,+,36556,96,83
97,+,36556,97,84
97,+,92272,0,25
97,+,92272,1,26
97,+,92272,2,27
97,+,92272,3,28
97,+,92272,4,29
97,+,92272,5,30
97,+,92272,6,31
97,+,92272,7,32
97,+,92272,8,33
97,+,92272,9,34
97,+,92272,10,35
97,+,92272,11,36
97,+,92272,12,37
97,+,92272,13,38
97,+,92272,14,39
97,+,92272,15,40
97,+,92272,16,41
97,+,92272,17,42
97,+,92272,18,43
97,+,92272,19,44
97,+,92272,20,45
97,+,92272,21,46
97,+,92272,22,47
97,+,92272,23,48
97,+,92272,24,49
97,+,92272,25,50
97,+,92272,26,51
97,+,92272,27,52
97,+,92272,28,53
97,+,92272,29,54
97,+,92272,30,55
97,+,92272,31,56
97,+,92272,32,57
97,+,92272,33,58
97,+,92272,34,59
97,+,92272,35,60
97,+,92272,36,61
97,+,92272,37,62
97,+,92272,38,63
97,+,92272,39,64
97,+,92272,40,65
97,+,92272,41,66
97,+,92272,42,67
97,+,92272,43,68
97,+,92272,44,69
97,+,92272,45,70
97,+,92272,46,71
97,+,92272,47,72
97,+,92272,48,73
97,+,92272,49,74
97,+,92272,50,75
97,+,92272,51,76
97,+,92272,52,77
97,+,92272,53,78
97,+,92272,54,79
97,+,92272,55,80
97,+,92272,56,81
97,+,92272,57,82
97,+,92272,58,83
97,+,92272,59,84
97,+,92272,60,85
97,+,92272,61,86
97,+,92272,62,87
97,+,92272,63,88
97,+,92272,64,89
97,+,92272,65,90
97,+,92272,66,91
97,+,92272,67,92
97,+,92272,68,93
97,+,92272,69,94
97,+,92272,70,95
97,+,92272,71,96
97,+,92272,72,0
97,+,92272,73,1
97,+,92272,74,2
97,+,92272,75,3
97,+,92272,76,4
97,+,92272,77,5
97,+,92272,78,6
97,+,92272,79,7
97,+,92272,80,8
97,+,92272,81,9
97,+,92272,82,10
97,+,92272,83,11
97,+,92272,84,12
97,+,92272,85,13
97,+,92272,86,14
97,+,92272,87,15
97,+,92272,88,16
97,+,92272,89,17
97,+,92272,90,18
97,+,92272,91,19
97,+,92272,92,20
97,+,92272,93,21
97,+,92272,94,22
97,+,92272,95,23
97,+,92272,96,24
97,+,92272,97,25
97,+,77561,0,58
97,+,77561,1,59
97,+,77561,2,60
97,+,77561,3,61
97,+,77561,4,62
97,+,77561,5,63
97,+,77561,6,64
97,+,77561,7,65
97,+,77561,8,66
97,+,77561,9,67
97,+,77561,10,68
97,+,77561,11,69
97,+,77561,12,70
97,+,77561,13,71
97,+,77561,14,72
97,+,77561,15,73
97,+,77561,16,74
97,+,77561,17,75
97,+,77561,18,76
97,+,77561,19,77
97,+,77561,20,78
97,+,77561,21,79
97,+,77561,22,80
97,+,77561,23,81
97,+,77561,24,82
97,+,77561,25,83
97,+,77561,26,84
97,+,77561,27,85
97,+,77561,28,86
97,+,77561,29,87
97,+,77561,30,88
97,+,77561,31,89
97,+,77561,32,90
97,+,77561,33,91
97,+,77561,34,92
97,+,77561,35,93
97,+,77561,36,94
97,+,77561,37,95
97,+,77561,38,96
97,+,77561,39,0
97,+,77561,40,1
97,+,77561,41,2
97,+,77561,42,3
97,+,77561,43,4
97,+,77561,44,5
97,+,77561,45,6
97,+,77561,46,7
97,+,77561,47,8
97,+,77561,48,9
97,+,77561,49,10
97,+,77561,50,11
97,+,77561,51,12
97,+,77561,52,13
97,+,77561,53,14
97,+,77561,54,15
97,+,77561,55,16
97,+,77561,56,17
97,+,77561,57,18
97,+,77561,58,19
97,+,77561,59,20
97,+,77561,60,21
97,+,77561,61,22
97,+,77561,62,23
97,+,77561,63,24
97,+,77561,64,25
97,+,77561,65,26
97,+,77561,66,27
97,+,77561,67,28
97,+,77561,68,29
97,+,77561,69,30
97,+,77561,70,31
97,+,77561,71,32
97,+,77561,72,33
97,+,77561,73,34
97,+,77561,74,35
97,+,77561,75,36
97,+,77561,76,37
97,+,77561,77,38
97,+,77561,78,39
97,+,77561,79,40
97,+,77561,80,41
97,+,77561,81,42
97,+,77561,82,43
97,+,77561,83,44
97,+,77561,84,45
97,+,77561,85,46
97,+,77561,86,47
97,+,77561,87,48
97,+,77561,88,49
97,+,77561,89,50
97,+,77561,90,51
97,+,77561,91,52
97,+,77561,92,53
97,+,77561,93,54
