p,o,a,b,c
113,-,106,86,20
97,/,81,11,7
113,-,79,54,25
113,+,47,36,83
97,-,19,43,73
113,/,20,14,1
97,-,12,96,13
113,/,93,49,1
113,+,110,3,0
113,-,88,1,87
113,+,3,103,106
113,+,47,46,93
113,/,5,44,0
113,/,31,31,1
113,-,79,7,72
113,/,59,43,1
113,-,92,57,35
113,-,56,12,44
113,-,2,41,74
97,+,19,8,27
97,/,81,67,1
113,+,87,108,82
97,/,50,61,0
113,/,51,77,0
97,-,85,11,74
113,+,108,112,107
113,/,33,72,0
97,/,62,94,0
97,-,84,44,40
113,+,69,19,88
97,-,4,65,36
113,/,26,107,0
113,-,83,78,5
113,-,72,77,108
113,/,73,90,0
113,/,51,41,1
113,+,53,49,102
113,+,92,97,76
113,/,3,2,1
113,-,23,53,83
97,/,30,77,0
113,/,42,55,0
113,/,24,52,0
113,-,50,34,16
113,+,73,108,68
113,-,91,30,61
97,/,30,45,0
113,/,37,78,0
113,/,13,74,0
113,+,89,11,100
97,-,3,4,96
97,+,33,12,45
113,-,3,92,24
97,+,39,90,32
113,+,83,58,28
113,+,84,14,98
113,/,72,101,0
97,-,77,91,83
113,+,2,25,27
113,-,53,88,78
113,/,46,107,0
97,-,89,72,17
97,-,70,55,15
97,/,46,44,1
113,/,104,27,3
113,/,101,99,1
97,/,72,97,0
113,+,1,37,38
97,+,19,29,48
97,/,57,41,1
113,+,89,98,74
113,+,82,92,61
97,-,8,89,16
97,/,91,10,9
97,/,20,94,0
97,-,73,63,10
97,+,88,9,0
97,+,92,48,43
113,+,4,39,43
113,-,23,46,90
97,/,79,5,15
113,/,112,52,2
97,-,59,73,83
113,-,112,107,5
113,/,77,40,1
97,-,58,6,52
97,-,37,14,23
97,+,51,52,6
113,/,101,67,1
97,/,86,37,2
113,-,48,76,85
97,-,47,89,55
113,/,65,91,0
113,-,102,6,96
97,/,45,80,0
113,-,48,86,75
97,+,59,60,22
113,/,89,42,2
113,/,66,79,0
113,-,4,96,21
113,-,7,34,86
113,/,112,77,1
97,/,45,17,2
113,/,66,43,1
113,-,17,8,9
97,-,5,57,45
113,-,28,11,17
113,+,45,89,21
113,-,108,32,76
113,/,103,29,3
97,+,2,0,2
113,/,27,42,0
97,+,74,45,22
97,-,87,25,62
97,/,18,9,2
113,-,26,4,22
97,-,49,4,45
97,+,59,23,82
97,/,10,70,0
97,/,33,65,0
113,/,61,55,1
97,-,5,15,87
113,-,67,33,34
113,-,29,97,45
97,+,51,76,30
113,/,67,60,1
113,/,60,40,1
113,-,22,41,94
113,-,2,12,103
113,/,64,72,0
97,+,93,15,11
113,-,75,3,72
113,/,52,28,1
113,-,14,39,88
113,+,98,27,12
113,-,93,102,104
97,-,25,44,78
113,-,100,14,86
113,/,74,54,1
113,/,80,5,16
113,-,91,29,62
113,+,93,98,78
113,+,74,68,29
113,/,16,23,0
113,-,57,15,42
113,-,10,93,30
97,+,57,92,52
113,+,18,74,92
97,-,17,85,29
113,/,25,80,0
97,+,1,93,94
113,-,52,112,53
113,-,69,104,78
97,/,52,33,1
113,/,13,80,0
113,/,99,92,1
97,-,38,17,21
97,/,8,15,0
113,-,95,111,97
113,/,61,65,0
113,+,71,15,86
97,+,85,96,84
113,/,80,64,1
113,/,62,90,0
97,/,77,63,1
97,-,68,27,41
97,/,16,75,0
97,-,16,44,69
113,/,85,7,12
97,-,62,92,67
113,+,102,61,50
113,+,58,78,23
97,+,84,37,24
113,+,70,49,6
97,-,74,3,71
113,-,104,87,17
97,-,88,31,57
113,-,14,65,62
113,+,9,109,5
97,/,24,64,0
97,-,92,74,18
97,-,54,34,20
97,+,29,18,47
97,+,58,3,61
113,+,69,7,76
97,-,49,57,89
97,+,44,47,91
97,-,69,66,3
113,+,47,13,60
113,/,101,41,2
97,/,75,92,0
97,-,46,9,37
97,+,61,25,86
113,-,99,49,50
113,+,78,26,104
113,-,21,30,104
97,-,72,6,66
113,-,39,21,18
113,/,6,84,0
113,-,91,90,1
113,+,30,64,94
113,-,63,11,52
97,+,84,88,75
97,+,25,51,76
113,/,98,93,1
113,-,97,65,32
97,/,93,51,1
113,+,60,74,21
113,-,28,108,33
113,+,42,15,57
113,-,100,25,75
97,+,11,97,11
97,+,91,4,95
97,-,50,17,33
113,-,113,1,112
113,/,89,94,0
113,/,19,102,0
97,+,77,89,69
97,+,1,41,42
113,+,101,57,45
113,/,28,8,3
113,+,60,81,28
113,+,20,36,56
97,+,4,38,42
113,+,1,98,99
113,/,11,11,1
97,+,77,85,65
113,+,93,53,33
113,+,18,108,13
113,/,73,24,3
97,+,6,25,31
97,+,41,59,3
97,/,44,3,14
97,+,53,15,68
97,-,1,11,87
97,-,92,55,37
97,/,49,5,9
113,-,86,43,43
97,-,55,45,10
113,/,68,15,4
113,+,3,77,80
113,-,14,2,12
113,/,77,80,0
97,+,24,3,27
113,+,11,103,1
97,/,72,7,10
97,/,24,14,1
113,-,113,88,25
113,/,2,58,0
113,+,45,104,36
113,/,7,69,0
113,-,56,11,45
97,/,26,35,0
113,/,32,69,0
113,+,104,107,98
97,/,52,8,6
97,/,24,45,0
97,/,7,64,0
97,+,26,18,44
97,-,92,62,30
113,/,92,9,10
97,/,42,54,0
97,/,66,92,0
97,+,97,44,44
97,-,67,9,58
113,-,77,111,79
97,+,16,57,73
113,-,79,38,41
97,/,56,14,4
97,+,41,66,10
97,/,57,69,0
113,+,57,108,52
113,-,50,40,10
113,-,45,1,44
113,-,83,80,3
113,/,90,9,10
113,+,52,58,110
113,-,94,108,99
97,/,24,44,0
113,+,95,35,17
113,-,86,70,16
113,/,57,87,0
113,-,76,100,89
113,+,77,39,3
113,+,49,41,90
97,+,93,19,15
97,+,89,38,30
97,+,6,97,6
113,-,100,84,16
113,-,83,21,62
113,+,16,21,37
97,-,33,48,82
97,-,88,18,70
97,-,33,83,47
113,-,100,78,22
97,+,5,97,5
97,-,8,28,77
113,/,42,53,0
113,+,82,66,35
113,-,35,105,43
97,-,65,3,62
113,+,1,29,30
113,/,98,67,1
113,+,68,82,37
113,-,59,60,112
97,/,89,92,0
97,/,78,47,1
113,-,37,77,73
97,/,66,95,0
113,-,25,16,9
97,-,24,67,54
113,+,74,23,97
97,-,12,61,48
113,/,69,71,0
113,/,42,87,0
113,+,50,10,60
97,-,91,38,53
97,/,70,45,1
97,/,86,63,1
113,+,54,100,41
113,+,32,95,14
97,-,34,87,44
97,+,92,15,10
113,+,89,85,61
113,/,23,83,0
97,/,12,70,0
97,/,21,52,0
113,-,17,41,89
97,-,60,41,19
97,/,56,2,28
97,/,50,56,0
97,+,95,45,43
113,-,9,110,12
113,+,81,82,50
113,-,20,26,107
113,+,77,28,105
97,-,97,17,80
113,+,77,8,85
113,+,1,55,56
113,-,90,90,0
113,-,3,108,8
97,+,73,87,63
113,-,45,40,5
113,/,76,80,0
113,/,46,108,0
97,-,44,77,64
113,/,27,83,0
97,/,9,66,0
97,+,60,70,33
97,+,84,31,18
113,-,61,7,54
97,/,26,83,0
113,/,41,97,0
97,-,42,38,4
113,+,2,107,109
113,-,47,112,48
97,/,4,84,0
113,/,104,17,6
113,-,6,0,6
113,-,76,77,112
113,/,87,52,1
113,+,8,70,78
97,/,92,85,1
113,/,104,3,34
113,-,46,77,82
97,+,83,92,78
113,-,88,55,33
113,+,7,101,108
113,/,39,55,0
113,+,9,57,66
97,/,41,87,0
97,+,59,24,83
97,-,18,63,52
113,+,19,36,55
97,+,54,70,27
113,-,107,39,68
113,-,106,53,53
97,+,67,21,88
113,/,52,27,1
113,-,39,1,38
113,-,9,24,98
97,/,2,32,0
113,-,8,34,87
113,-,56,100,69
97,/,57,32,1
113,-,111,44,67
97,+,46,38,84
113,-,7,29,91
113,-,113,53,60
113,-,38,7,31
113,+,58,51,109
97,-,24,17,7
97,-,87,62,25
97,/,39,51,0
113,-,8,111,10
113,/,48,41,1
113,/,27,39,0
97,-,2,29,70
97,/,26,51,0
97,/,54,91,0
113,/,26,2,13
113,/,5,19,0
113,-,79,70,9
113,+,19,95,1
113,-,2,90,25
113,-,32,26,6
113,+,1,46,47
113,/,61,24,2
97,/,49,44,1
113,/,95,59,1
97,-,7,22,82
97,+,42,72,17
113,/,29,21,1
113,/,10,26,0
113,+,52,12,64
113,+,19,59,78
113,/,65,56,1
113,/,58,26,2
97,+,49,36,85
113,-,70,17,53
97,/,61,92,0
113,+,37,53,90
97,+,16,49,65
97,+,4,47,51
113,+,69,108,64
97,/,92,43,2
97,-,90,88,2
97,+,14,56,70
113,/,25,3,8
97,-,88,38,50
97,/,25,91,0
113,-,112,74,38
97,/,28,70,0
113,/,100,4,25
113,/,30,31,0
113,+,36,99,22
113,+,98,1,99
97,+,43,25,68
113,/,83,45,1
113,-,95,113,95
97,+,40,30,70
113,-,74,109,78
97,+,53,71,27
97,+,84,90,77
113,+,13,95,108
113,/,7,9,0
97,+,16,85,4
113,+,12,74,86
97,-,25,75,47
97,/,81,93,0
97,+,80,83,66
97,/,41,45,0
113,/,48,79,0
97,/,35,24,1
113,-,94,85,9
97,-,18,58,57
113,/,106,16,6
113,/,98,86,1
97,-,80,21,59
113,+,10,2,12
113,-,94,103,104
97,+,91,51,45
97,+,5,89,94
97,/,61,65,0
113,-,105,80,25
97,/,3,38,0
113,-,58,70,101
97,+,24,85,12
97,/,51,23,2
97,-,68,73,92
113,/,68,74,0
113,-,46,55,104
113,/,65,6,10
97,/,77,53,1
113,+,13,113,13
97,-,26,20,6
97,+,21,8,29
113,/,55,54,1
97,+,82,17,2
97,/,76,5,15
113,/,100,57,1
113,-,112,10,102
113,/,20,106,0
97,/,40,32,1
113,+,12,90,102
97,-,23,55,65
97,+,2,86,88
113,-,76,66,10
113,+,49,40,89
113,/,49,59,0
113,+,27,102,16
113,-,88,90,111
113,-,24,89,48
97,/,53,66,0
97,-,49,31,18
97,+,71,76,50
113,-,76,82,107
97,+,3,65,68
97,+,25,66,91
113,+,24,95,6
113,+,56,97,40
113,+,88,8,96
113,+,98,5,103
97,-,37,0,37
113,+,33,89,9
113,-,79,25,54
97,-,21,76,42
97,-,63,14,49
113,-,17,42,88
113,/,38,101,0
113,/,4,44,0
97,-,41,40,1
97,-,46,94,49
113,-,40,20,20
113,-,72,67,5
113,/,36,78,0
113,-,110,69,41
113,/,107,6,17
113,-,86,96,103
113,+,9,10,19
97,-,33,28,5
97,/,0,51,0
97,-,36,8,28
113,+,9,54,63
113,-,107,110,110
113,/,67,65,1
97,-,67,34,33
113,-,100,43,57
97,+,6,15,21
113,/,8,95,0
113,/,81,58,1
97,/,4,35,0
97,-,11,57,51
97,+,77,67,47
113,/,21,41,0
113,+,102,112,101
113,-,1,55,59
97,-,78,6,72
113,-,91,89,2
97,+,31,48,79
113,-,48,47,1
113,/,99,110,0
113,+,80,46,13
113,/,27,113,0
113,+,57,91,35
113,-,56,60,109
97,/,52,58,0
97,+,10,88,1
113,-,77,70,7
113,/,57,89,0
113,+,84,111,82
113,-,82,61,21
113,+,103,72,62
97,-,39,16,23
113,/,76,21,3
113,-,12,66,59
97,/,66,41,1
113,+,14,31,45
113,-,89,60,29
97,/,48,76,0
113,/,105,71,1
113,/,112,26,4
97,-,36,42,91
113,/,24,2,12
113,+,83,105,75
113,/,106,20,5
97,+,87,4,91
97,-,19,26,90
113,+,42,27,69
113,+,95,110,92
113,-,57,11,46
113,-,72,11,61
113,/,90,34,2
113,+,47,81,15
113,-,76,71,5
113,+,110,49,46
97,/,22,33,0
97,-,54,13,41
97,/,22,86,0
113,-,74,78,109
113,+,3,20,23
113,/,92,28,3
113,+,76,95,58
113,+,32,84,3
97,/,5,66,0
113,-,76,20,56
97,-,71,71,0
113,+,80,37,4
97,-,2,39,60
97,-,54,30,24
113,-,106,40,66
97,/,73,11,6
113,-,101,9,92
113,-,9,73,49
97,-,85,58,27
113,+,27,80,107
97,+,81,84,68
113,+,85,93,65
113,-,42,50,105
97,/,10,61,0
113,/,26,31,0
113,/,51,7,7
113,-,10,106,17
113,/,25,47,0
113,-,2,66,49
97,-,67,95,69
113,/,59,1,59
97,-,2,83,16
97,/,16,89,0
97,/,33,21,1
97,-,81,87,91
113,+,50,80,17
97,+,81,77,61
113,+,68,8,76
97,+,29,43,72
97,-,14,10,4
97,+,41,87,31
113,+,8,60,68
113,/,77,63,1
97,+,91,97,91
97,-,16,94,19
113,-,91,100,104
113,-,34,24,10
97,/,12,97,0
113,/,96,107,0
113,-,32,20,12
113,+,68,68,23
97,+,49,44,93
97,-,13,84,26
97,/,92,97,0
97,+,90,62,55
97,+,25,84,12
97,-,2,96,3
113,-,100,110,103
113,+,1,75,76
113,+,12,48,60
113,-,73,52,21
97,/,66,21,3
97,-,50,67,80
113,/,110,63,1
113,-,86,41,45
97,/,80,52,1
97,+,54,29,83
113,-,19,24,108
113,+,89,44,20
113,+,106,104,97
113,-,29,110,32
113,+,28,28,56
113,+,32,109,28
113,+,78,76,41
113,+,101,5,106
113,-,51,88,76
97,-,96,71,25
113,+,66,65,18
113,/,44,49,0
97,-,58,95,60
113,+,96,109,92
113,-,59,42,17
113,-,29,73,69
97,/,31,53,0
97,/,6,55,0
97,+,27,60,87
113,-,82,30,52
97,+,7,18,25
97,+,95,35,33
97,-,15,3,12
97,+,67,14,81
113,/,111,85,1
97,/,0,90,0
113,+,112,109,108
113,+,15,64,79
113,/,27,51,0
97,-,95,3,92
97,+,24,92,19
97,+,60,49,12
113,/,17,7,2
113,-,105,33,72
113,+,30,10,40
113,+,86,72,45
97,/,25,88,0
113,-,42,93,62
113,/,81,40,2
113,/,32,15,2
113,/,7,110,0
113,/,24,35,0
97,+,50,64,17
113,-,108,41,67
113,-,96,50,46
97,+,57,65,25
97,/,34,10,3
113,/,55,72,0
113,-,107,55,52
113,+,61,22,83
97,-,27,38,86
97,+,70,36,9
113,-,109,69,40
113,-,27,57,83
97,+,67,39,9
97,+,11,47,58
113,-,27,93,47
97,-,49,67,79
113,-,64,21,43
113,-,22,20,2
97,/,44,62,0
113,+,105,82,74
97,+,65,57,25
97,+,38,73,14
97,+,27,41,68
97,+,81,22,6
113,-,72,63,9
113,/,84,110,0
97,/,68,68,1
97,-,75,68,7
97,-,70,30,40
113,/,65,42,1
113,+,89,80,56
97,-,34,43,88
113,/,105,98,1
97,-,34,20,14
97,/,83,85,0
97,+,32,42,74
113,+,103,100,90
113,-,53,2,51
113,-,111,2,109
113,/,110,45,2
97,/,60,92,0
113,+,38,22,60
113,-,23,17,6
113,/,76,93,0
113,-,23,64,72
113,-,75,1,74
97,/,8,31,0
97,/,15,5,3
113,+,3,112,2
113,+,38,31,69
113,-,47,12,35
113,-,69,8,61
113,+,39,81,7
97,/,71,63,1
113,-,55,60,108
97,/,73,73,1
97,/,54,15,3
97,/,25,40,0
97,/,4,24,0
97,+,81,45,29
97,/,74,76,0
113,-,8,82,39
113,-,46,112,47
113,+,8,94,102
97,-,39,55,81
113,/,83,5,16
113,/,100,67,1
113,+,82,51,20
97,/,59,5,11
113,/,43,62,0
113,-,101,2,99
113,-,81,92,102
113,-,108,56,52
113,-,61,46,15
113,+,108,27,22
113,-,112,24,88
113,/,90,74,1
97,/,14,78,0
113,-,42,82,73
113,+,90,90,67
97,-,5,92,10
97,+,49,57,9
113,/,60,93,0
97,/,18,95,0
113,-,6,4,2
113,-,29,40,102
97,-,86,15,71
97,-,49,41,8
97,+,63,90,56
113,-,56,53,3
113,-,83,107,89
113,/,50,56,0
113,/,56,54,1
113,/,16,67,0
113,/,87,86,1
97,/,5,33,0
113,/,69,11,6
113,/,66,23,2
113,-,62,50,12
97,/,47,56,0
97,/,84,69,1
97,+,91,59,53
113,+,88,75,50
113,-,9,26,96
113,/,107,29,3
113,+,104,104,95
97,/,51,65,0
113,/,72,6,12
113,/,48,103,0
97,/,24,72,0
113,-,22,97,38
113,-,93,39,54
97,+,73,10,83
113,+,96,105,88
113,+,85,2,87
97,+,42,67,12
113,-,89,11,78
97,/,61,31,1
97,+,91,6,0
97,/,22,96,0
113,/,72,93,0
113,/,21,93,0
97,+,54,82,39
113,+,61,59,7
97,-,9,56,50
113,-,10,67,56
113,-,36,33,3
113,+,28,21,49
113,+,71,112,70
97,/,78,55,1
97,-,40,71,66
113,-,88,18,70
113,/,100,61,1
97,+,55,47,5
97,+,23,90,16
113,+,39,12,51
113,+,112,72,71
113,+,34,14,48
97,/,91,34,2
113,+,5,40,45
97,+,73,51,27
113,+,110,113,110
113,/,30,70,0
113,-,90,48,42
113,-,34,100,47
97,/,49,48,1
113,+,14,97,111
113,+,27,16,43
113,/,38,13,2
113,+,82,80,49
97,-,10,85,22
97,-,57,9,48
113,-,88,72,16
113,/,94,97,0
97,/,29,86,0
97,+,74,3,77
113,-,47,34,13
113,/,1,2,0
97,/,61,12,5
113,/,96,4,24
113,+,61,66,14
113,/,76,81,0
113,/,112,39,2
97,/,64,32,2
113,-,29,53,89
113,-,15,24,104
113,-,37,16,21
113,+,103,81,71
113,-,13,74,52
97,-,61,83,75
113,-,98,49,49
113,-,59,23,36
113,+,73,100,60
113,/,16,21,0
113,+,36,75,111
113,/,59,62,0
113,-,95,58,37
113,-,19,41,91
113,+,43,43,86
113,-,39,87,65
113,/,113,12,9
97,-,15,1,14
113,-,70,28,42
97,/,62,92,0
113,-,67,108,72
97,-,17,79,35
97,-,39,71,65
113,/,15,69,0
113,+,82,70,39
113,+,60,42,102
97,/,28,78,0
97,/,42,15,2
97,+,89,42,34
113,-,37,46,104
97,/,50,81,0
113,+,60,57,4
113,-,15,111,17
113,/,21,67,0
113,/,44,19,2
97,-,84,8,76
113,/,19,33,0
113,-,54,31,23
97,/,25,50,0
113,/,24,47,0
113,/,51,79,0
97,-,49,3,46
97,+,40,51,91
113,/,45,13,3
97,+,37,12,49
97,+,38,67,8
97,+,63,65,31
113,+,100,50,37
113,/,79,44,1
97,+,72,41,16
97,+,20,44,64
97,/,19,91,0
113,-,110,104,6
113,+,46,59,105
97,-,77,20,57
113,+,2,93,95
113,/,23,64,0
97,+,71,84,58
97,/,28,12,2
113,-,107,27,80
113,-,87,5,82
97,-,45,37,8
113,/,41,80,0
113,-,70,107,76
113,+,88,12,100
97,-,68,53,15
97,/,38,3,12
97,+,87,89,79
113,+,6,1,7
97,+,36,20,56
97,/,52,59,0
113,+,43,71,1
97,-,36,5,31
113,/,74,93,0
113,+,40,77,4
97,/,43,87,0
113,/,107,78,1
113,-,52,1,51
97,+,52,31,83
113,/,46,51,0
113,/,29,17,1
97,+,62,21,83
113,-,72,42,30
97,-,18,68,47
113,-,16,112,17
113,+,28,84,112
97,-,84,84,0
113,/,13,107,0
97,+,96,64,63
113,/,36,60,0
97,+,18,33,51
97,-,32,26,6
113,/,17,74,0
113,+,19,78,97
113,+,43,44,87
113,/,107,75,1
113,+,45,54,99
97,/,68,6,11
113,-,103,33,70
113,+,41,1,42
97,/,38,46,0
97,+,89,69,61
113,/,58,4,14
97,-,43,60,80
97,/,83,23,3
97,+,29,92,24
113,+,1,36,37
113,/,111,6,18
113,+,0,105,105
113,-,55,104,64
113,+,11,99,110
113,+,102,14,3
113,-,104,2,102
97,/,80,94,0
113,-,74,44,30
113,+,72,110,69
113,-,46,15,31
97,+,92,56,51
97,-,74,31,43
113,-,35,57,91
113,+,21,20,41
113,/,74,14,5
97,-,22,31,88
97,-,56,16,40
97,+,91,83,77
97,+,78,67,48
113,-,83,54,29
97,-,51,63,85
97,-,40,42,95
113,+,85,12,97
113,+,45,17,62
113,+,93,106,86
97,+,76,76,55
113,/,38,107,0
113,/,26,5,5
97,-,7,86,18
113,+,13,59,72
113,+,98,93,78
97,/,0,54,0
113,/,33,54,0
97,-,66,89,74
97,/,7,49,0
97,-,89,51,38
113,-,112,69,43
113,/,84,24,3
97,-,29,92,34
97,-,46,52,91
113,-,24,49,88
113,+,69,95,51
97,/,47,69,0
97,-,60,26,34
97,/,43,79,0
113,-,69,66,3
113,+,35,89,11
113,+,74,37,111
113,/,52,7,7
97,-,52,28,24
97,-,71,77,91
97,/,96,42,2
97,+,63,49,15
97,-,52,56,93
113,-,97,40,57
97,/,22,65,0
113,-,25,64,74
113,-,27,64,76
113,+,19,30,49
113,/,89,104,0
97,-,41,9,32
113,-,103,3,100
97,-,8,63,42
113,-,55,50,5
97,+,1,11,12
113,-,50,63,100
113,-,52,0,52
113,+,75,98,60
97,-,4,20,81
113,-,48,57,104
97,-,52,1,51
97,+,75,38,16
113,+,65,48,0
97,/,29,4,7
113,/,10,64,0
113,+,86,77,50
97,-,80,25,55
97,-,72,64,8
97,+,67,27,94
113,/,47,111,0
97,-,58,83,72
113,+,58,15,73
113,-,89,91,111
113,+,106,112,105
113,-,91,38,53
113,/,67,90,0
113,-,86,23,63
97,+,54,75,32
97,+,16,66,82
113,-,79,1,78
97,/,76,8,9
97,/,50,30,1
113,+,89,50,26
97,+,4,49,53
97,-,2,28,71
97,+,52,34,86
113,-,89,48,41
113,/,67,43,1
113,/,83,91,0
97,/,75,55,1
97,+,13,9,22
113,-,68,52,16
113,/,2,60,0
97,/,44,35,1
113,+,95,88,70
113,/,75,60,1
113,+,112,6,5
97,+,14,60,74
97,/,69,5,13
113,-,92,77,15
97,+,14,94,11
97,-,42,8,34
113,+,9,59,68
113,+,8,105,0
113,+,39,48,87
97,+,97,52,52
113,/,39,53,0
97,+,15,49,64
113,-,16,106,23
97,/,85,70,1
113,-,40,43,110
97,-,82,66,16
97,+,64,22,86
113,+,52,107,46
97,/,12,74,0
97,-,20,6,14
113,/,16,35,0
97,+,48,20,68
97,+,37,10,47
97,+,43,36,79
97,-,59,12,47
113,/,73,7,10
97,+,21,43,64
113,-,42,45,110
113,-,78,53,25
97,/,65,94,0
97,-,22,8,14
113,+,21,62,83
113,-,6,102,17
97,-,24,63,58
113,-,17,79,51
97,/,68,14,4
97,+,69,66,38
97,+,21,93,17
97,-,32,93,36
97,-,54,51,3
113,/,17,59,0
97,/,47,54,0
97,-,8,26,79
113,/,64,16,4
113,/,71,38,1
97,-,0,12,85
97,+,18,17,35
113,-,26,0,26
97,-,74,52,22
113,/,68,13,5
113,+,80,24,104
97,+,36,51,87
113,/,34,74,0
97,+,27,82,12
97,/,85,47,1
113,-,52,32,20
97,-,29,53,73
113,/,80,76,1
113,/,109,105,1
113,-,35,18,17
113,+,28,66,94
97,-,53,26,27
97,+,6,26,32
97,-,66,14,52
113,-,50,25,25
113,-,61,14,47
113,+,71,89,47
113,-,13,110,16
97,+,70,19,89
97,/,64,78,0
113,/,0,14,0
113,/,33,45,0
97,+,89,21,13
97,+,55,67,25
113,+,101,47,35
113,/,40,89,0
113,-,55,2,53
97,-,33,36,94
113,+,91,36,14
113,+,31,112,30
113,/,21,111,0
113,+,19,76,95
113,/,97,63,1
97,+,3,64,67
113,-,64,53,11
113,+,67,56,10
97,-,67,15,52
97,/,50,54,0
113,-,53,18,35
113,+,100,45,32
97,+,93,96,92
97,+,54,13,67
113,/,12,33,0
113,-,34,70,77
97,/,50,80,0
113,+,90,25,2
97,/,3,74,0
97,/,72,58,1
113,/,57,86,0
113,/,60,5,12
113,-,16,66,63
97,+,65,42,10
113,/,102,23,4
113,/,107,71,1
113,+,106,15,8
113,-,46,6,40
97,+,42,11,53
97,-,82,94,85
113,/,25,58,0
113,-,3,93,23
97,/,61,67,0
97,+,18,61,79
97,+,31,21,52
113,+,17,69,86
97,-,60,25,35
97,+,19,72,91
113,/,76,58,1
97,-,53,77,73
113,-,44,14,30
113,/,76,91,0
113,-,72,21,51
113,/,58,16,3
113,-,69,60,9
113,/,14,89,0
113,/,51,66,0
113,-,16,101,28
113,-,34,81,66
97,+,90,7,0
113,-,54,41,13
97,-,63,30,33
113,+,57,83,27
113,-,14,77,50
97,/,45,8,5
113,+,56,0,56
97,/,51,42,1
97,-,27,86,38
97,/,67,66,1
97,+,34,63,0
113,/,71,19,3
113,/,84,14,6
97,-,81,83,95
97,-,85,15,70
113,-,66,36,30
113,+,45,87,19
113,+,105,67,59
113,+,82,87,56
113,-,38,91,60
113,/,113,97,1
113,-,6,15,104
113,-,73,44,29
113,/,39,48,0
113,+,86,88,61
97,-,75,12,63
113,+,104,75,66
113,-,87,113,87
97,+,93,78,74
97,/,57,48,1
97,+,29,26,55
97,-,24,84,37
113,+,74,92,53
97,/,7,32,0
113,-,110,53,57
97,+,11,21,32
113,+,12,62,74
113,/,18,29,0
113,/,105,85,1
97,+,23,69,92
113,-,57,72,98
97,-,28,48,77
113,+,82,86,55
97,+,33,16,49
113,/,56,73,0
113,+,113,74,74
97,/,53,69,0
113,+,8,72,80
113,-,94,104,103
113,+,110,30,27
113,+,33,19,52
113,+,76,18,94
97,-,47,93,51
97,+,71,78,52
113,/,47,86,0
97,-,32,68,61
113,+,56,76,19
97,-,96,85,11
113,/,10,58,0
113,+,37,13,50
97,+,74,66,43
97,/,8,66,0
113,-,65,19,46
113,+,43,21,64
97,/,19,11,1
113,+,47,82,16
113,-,66,49,17
113,-,5,18,100
113,-,42,2,40
113,+,110,51,48
113,+,45,10,55
113,+,1,42,43
113,+,18,19,37
97,/,53,70,0
113,-,15,47,81
113,+,47,50,97
