p,o,a,b,c
113,/,48186,27,89
113,/,15416,73,98
97,-,61954,97,68
97,-,58237,95,39
113,-,92437,64,52
113,-,66178,25,48
97,-,36935,35,40
97,+,51782,51,35
97,+,3357,5,64
113,/,7715,95,81
113,-,6268,83,83
113,+,18628,75,58
113,-,99308,63,31
113,/,87038,101,70
97,/,41477,43,91
113,+,18628,24,7
113,-,62226,72,4
113,+,21170,12,51
97,/,39776,29,13
113,-,45819,60,107
113,-,45066,6,86
113,-,73271,24,23
113,+,65979,97,84
97,/,83449,68,63
97,-,58237,79,55
113,+,38124,52,95
97,-,9313,82,16
113,+,92067,47,19
113,+,33576,29,44
113,+,22704,74,65
97,/,47106,54,96
97,-,66732,80,13
113,+,32138,48,94
113,+,90764,67,92
97,+,36413,15,53
113,/,6146,26,10
113,-,13469,68,67
113,+,56838,24,23
113,-,32819,15,34
113,/,3935,80,49
113,-,73271,52,108
113,+,32157,46,111
113,-,9184,80,64
113,/,61208,65,37
113,+,60444,110,99
113,/,10530,108,97
113,/,90132,4,46
97,/,92272,90,55
113,-,92542,67,41
97,-,59127,6,48
97,-,9078,46,11
113,+,58742,42,24
113,/,58742,53,91
97,-,46204,23,9
113,/,95111,80,58
113,+,36672,6,66
97,/,34702,57,26
113,-,3489,4,95
97,/,24752,87,90
113,+,29376,41,37
97,-,76017,60,6
113,+,6496,61,3
97,/,78480,82,84
113,/,40358,85,22
97,+,97913,27,67
113,-,40483,17,12
113,-,42439,23,41
113,/,13469,8,101
113,/,8764,69,14
97,/,3080,51,60
113,/,64460,24,86
97,/,9078,56,65
97,-,59127,47,7
113,-,45066,105,100
113,-,45819,16,38
113,/,42439,94,112
113,/,3489,56,62
97,-,78561,63,25
113,/,76255,25,112
113,/,73271,3,15
97,+,24506,80,45
97,+,57363,88,27
113,/,78288,42,56
113,-,40358,8,9
113,/,32155,42,87
97,/,71429,50,70
113,+,65979,100,87
97,/,70596,27,92
113,/,77503,113,7
113,+,92067,57,29
97,-,97317,11,15
97,/,59127,70,68
113,/,61287,8,89
97,/,61954,7,23
97,+,5956,83,25
97,+,13470,62,49
97,/,49203,52,73
113,/,40483,19,96
113,+,40541,89,63
97,+,90189,85,64
113,+,32819,77,13
97,+,97913,60,3
97,/,36556,13,96
97,/,36556,62,7
97,+,17986,78,22
113,/,60444,44,17
113,-,35865,34,10
97,-,59127,65,86
113,-,40483,22,7
97,/,17918,74,48
97,/,9297,62,52
97,+,49039,75,32
97,+,24752,3,20
97,/,31330,88,65
97,+,89387,2,52
97,/,49039,87,78
113,-,76255,103,103
113,-,88625,21,12
113,-,64460,2,48
97,+,41940,49,85
113,+,88107,16,96
113,+,98262,60,12
97,-,39855,35,50
97,/,35942,18,56
97,+,302,40,51
97,-,39030,12,24
113,/,52810,97,92
97,+,37093,86,28
113,+,77503,89,74
97,+,17918,31,4
113,+,36672,90,37
113,+,16295,39,62
97,+,5956,21,60
113,-,47699,31,95
113,+,78097,0,14
113,-,27885,4,83
97,-,36935,18,57
97,-,58237,47,87
113,-,47699,32,94
113,/,32155,96,108
97,-,9297,14,68
113,-,54179,102,63
113,/,94644,61,82
113,-,92437,28,88
97,+,36556,61,48
97,/,25040,96,66
113,-,87038,101,40
113,+,32157,36,101
113,+,90132,51,9
97,/,13470,91,51
113,+,40358,110,14
113,-,77452,25,22
113,-,32138,67,92
97,+,29432,3,44
97,/,60736,49,75
113,/,6146,103,59
113,+,84344,111,44
113,+,6496,85,27
113,-,99308,85,9
97,-,86933,64,54
97,+,21582,19,67
113,+,22704,23,14
113,-,3489,38,61
97,/,2688,48,56
113,+,50938,42,17
97,/,13470,64,16
113,+,56838,7,6
113,/,90764,65,40
97,-,25367,78,69
113,+,8764,19,82
97,+,60736,37,51
97,-,59127,68,83
97,/,61954,62,29
97,-,27813,1,70
113,+,56838,111,110
113,/,13880,36,46
113,/,28473,81,12
97,+,78561,39,30
97,/,68089,53,23
97,+,80549,31,70
113,+,25005,82,1
113,+,38133,46,98
97,+,58237,93,33
113,-,10530,36,98
97,+,49384,59,70
97,+,84096,62,59
113,/,94644,59,22
113,+,18391,96,68
113,-,6268,21,32
113,+,73271,76,10
113,/,11343,90,13
113,-,38124,10,33
97,-,95595,3,47
97,/,13470,12,55
113,+,61287,43,84
97,-,59127,75,76
97,/,83449,50,19
113,-,52810,29,10
97,-,24506,37,25
97,-,83449,43,83
113,-,87985,3,68
97,+,46992,49,93
113,-,54179,86,79
97,/,9313,5,19
113,/,36672,25,110
97,+,95595,11,61
113,-,84344,57,102
113,+,40541,104,78
113,/,61287,51,71
97,/,36935,18,14
113,+,38124,41,84
97,+,65197,29,42
113,+,40483,14,43
113,+,64945,92,62
97,-,90189,8,68
97,/,21582,53,19
97,-,97913,44,93
97,+,50757,60,86
113,-,73271,8,39
113,-,36672,15,45
113,/,13880,12,26
97,-,31330,52,44
113,-,61287,64,90
113,/,60261,44,13
113,-,65979,32,68
113,-,10530,2,19
97,+,5520,54,45
113,/,27885,56,45
97,/,35467,86,24
113,-,77452,64,96
113,-,56838,73,39
113,-,38353,77,82
97,+,2688,62,34
113,-,22088,63,103
97,-,75993,95,44
113,+,90764,22,47
97,/,302,34,8
113,-,78097,63,64
97,+,41940,7,43
113,+,2296,25,61
97,/,21691,25,91
97,-,302,94,14
113,/,38353,35,78
97,/,9078,5,69
113,+,60261,63,95
97,-,58237,81,53
113,+,51028,56,8
113,+,92067,36,8
113,/,40541,103,54
113,/,5188,27,79
97,/,21691,20,17
113,/,56838,108,74
97,+,89479,77,25
113,+,60261,21,53
97,/,24752,10,50
113,-,4738,2,103
113,-,61208,68,7
113,/,69342,100,15
97,-,37093,1,38
97,/,58237,90,65
113,-,95111,47,31
97,-,75993,61,78
113,+,40541,66,40
97,-,68089,90,2
97,+,47106,21,82
113,+,98030,102,48
97,-,80549,75,61
97,+,46992,27,71
113,-,84344,102,57
113,-,53879,83,8
97,/,7373,49,53
97,+,22902,25,35
97,+,78480,95,5
97,/,41940,57,56
113,/,38124,111,4
113,/,71965,86,45
113,/,51677,24,6
113,+,56838,60,59
97,+,7373,15,16
113,/,28473,93,80
97,/,84096,4,72
97,+,78480,11,18
97,-,34913,83,7
97,/,58237,70,55
113,+,52810,62,101
113,/,50938,86,27
113,/,3935,23,58
97,/,31330,29,13
97,/,90189,17,67
113,-,96626,50,74
113,-,32157,60,5
97,-,50757,81,42
97,+,49039,69,26
113,/,15416,86,66
113,-,4738,7,98
97,+,3357,42,4
113,/,32138,40,12
113,+,8764,5,68
113,-,90132,24,47
97,/,35467,97,74
97,+,45468,38,13
113,-,40541,10,77
97,+,84096,19,16
113,/,13469,7,3
113,+,51028,58,10
97,+,60736,56,70
97,-,86933,59,59
97,/,9230,58,62
113,/,6496,89,72
113,+,47699,8,21
113,/,40358,78,65
97,+,21691,61,24
97,-,27813,45,26
113,-,62226,1,75
97,-,13485,37,62
97,+,9078,34,91
113,/,78288,13,33
113,/,77503,62,7
97,/,64490,61,87
97,/,77561,19,8
97,+,24752,21,38
97,/,49384,82,20
113,+,2296,18,54
97,/,68089,71,86
97,+,57363,13,49
113,+,90082,110,18
113,-,87985,6,65
97,-,95595,69,78
113,/,7715,90,85
113,/,92067,91,107
113,+,65979,111,98
97,+,37093,32,71
97,-,22902,71,36
113,-,15416,75,86
113,+,60444,79,68
113,+,77452,70,4
113,-,73905,31,85
113,-,38353,53,106
97,+,69912,85,60
113,+,99188,35,9
113,-,10530,85,49
97,/,41940,48,0
97,+,36556,51,38
113,-,32819,94,68
97,/,61954,90,9
113,-,38124,102,54
113,+,22918,93,72
113,/,3935,87,45
113,-,50938,12,76
113,+,92437,5,8
113,/,73271,64,14
97,+,27813,44,18
97,-,56754,91,15
97,+,24506,94,59
113,/,88625,84,38
113,+,45066,28,7
113,+,22704,66,57
113,/,88178,59,25
113,+,73905,104,107
113,/,15416,5,32
113,+,35865,87,18
97,+,9297,71,56
113,+,12109,48,66
97,/,68089,23,50
113,+,90082,56,77
97,/,70596,68,68
113,/,66952,23,85
97,-,17531,25,46
113,+,90764,9,34
113,+,64108,17,54
113,/,85237,6,81
113,-,22088,65,101
97,+,84026,30,54
113,+,6146,57,101
97,+,80549,15,54
113,-,32155,24,39
97,-,32087,62,15
97,/,9297,83,15
113,-,15416,80,81
113,/,53879,95,2
97,/,5956,31,95
113,+,74692,8,7
97,-,65197,97,13
113,-,40483,55,87
97,+,94353,55,27
113,-,38124,99,57
113,/,2527,31,81
97,+,27813,63,37
113,/,99308,87,11
113,+,13880,69,50
97,-,94353,88,78
113,-,40358,58,72
113,/,4030,71,56
113,-,2527,56,98
113,-,92067,38,47
97,-,9127,84,22
97,/,17531,85,12
97,/,3357,61,55
113,-,61208,71,4
97,+,61954,66,37
97,+,45468,30,5
97,-,96984,55,26
113,/,45819,65,26
97,/,49203,86,87
97,-,35942,97,52
113,+,90764,36,61
113,-,33576,104,24
97,-,32087,45,32
113,+,6268,32,85
97,-,46204,83,46
113,+,61208,78,40
113,+,22088,37,90
113,/,38124,52,55
113,+,9184,64,95
97,-,97913,8,32
113,-,60439,43,54
113,+,94245,78,81
113,-,25005,75,70
113,+,96626,0,11
113,+,46526,79,49
113,/,4738,56,84
97,-,78745,89,86
113,/,92447,50,40
113,-,32157,74,104
97,/,17986,89,8
113,/,13469,14,58
113,-,84984,54,67
97,-,9127,64,42
113,-,17221,78,80
97,/,83449,11,20
113,/,64945,52,5
113,/,5188,58,89
97,+,65197,95,11
113,-,12109,96,35
113,/,60716,74,29
113,+,45819,48,102
97,/,17918,96,89
97,/,35467,53,87
113,+,11670,57,88
97,+,66367,81,3
97,/,17918,21,77
113,+,69342,14,87
113,/,35865,45,6
113,/,74692,37,97
113,/,87985,41,111
113,+,60439,42,26
97,/,89479,13,93
97,-,69912,90,79
113,-,61287,96,58
113,/,84984,102,42
97,-,31026,25,58
113,/,60716,82,62
113,/,95111,25,75
113,/,99188,54,28
113,-,32157,77,101
113,+,10530,66,87
97,+,83449,26,55
97,-,45681,9,82
97,+,66969,87,29
97,+,78561,52,43
113,+,13880,49,30
113,/,47699,103,11
97,/,95595,55,89
97,/,45468,3,24
97,+,9313,18,19
97,/,46204,43,7
97,-,22704,26,77
113,+,32157,14,79
113,+,99188,7,94
97,-,21582,36,12
113,-,44017,49,11
113,/,4030,69,58
113,/,18391,64,61
113,-,38124,50,106
97,-,76017,69,94
97,+,78745,87,68
97,+,41940,87,26
97,+,45681,96,90
113,-,45066,54,38
113,+,73271,21,68
97,/,25367,86,3
97,-,22704,5,1
113,/,35865,96,34
113,-,60439,72,25
97,+,85802,1,55
97,-,31330,68,28
113,/,99308,11,101
97,+,41477,25,83
97,/,35942,13,48
97,-,31330,26,70
97,/,17531,64,79
113,+,69342,54,14
113,+,3935,40,20
113,+,66952,82,25
113,+,22704,61,52
97,-,49203,3,21
97,+,41940,35,71
97,-,41940,33,3
97,-,50757,96,27
97,-,31026,42,41
97,+,89479,2,47
97,+,21691,64,27
113,+,3489,81,67
97,/,36935,52,31
97,+,95595,26,76
113,+,73271,80,14
97,-,5520,82,6
113,/,11343,70,49
113,-,42439,54,10
97,-,29432,37,4
97,-,13470,47,37
97,/,86933,45,88
113,-,29376,103,6
113,/,62575,33,88
113,/,10530,106,99
97,-,5956,12,27
97,/,24752,27,43
113,+,5188,113,103
97,/,45468,11,59
113,+,96626,70,81
113,-,46526,29,54
113,+,60439,69,53
113,/,90764,55,68
97,-,84026,82,39
97,+,2688,56,28
113,/,56838,2,56
113,/,56838,87,88
97,/,45468,91,14
113,/,32155,63,58
97,/,84096,97,90
97,/,41477,35,21
113,+,36672,37,97
97,-,3080,66,7
97,/,70596,83,74
113,-,3935,63,30
97,+,9078,2,59
113,-,88107,66,14
113,/,52810,53,92
97,+,56754,47,56
97,-,25367,38,12
113,/,45420,33,20
113,+,74692,30,29
113,+,7715,105,23
97,/,66732,55,49
113,/,46526,83,108
97,+,47058,6,19
97,-,34913,29,61
113,+,90764,104,16
113,/,12109,15,16
97,-,86933,77,41
113,-,87985,95,89
113,+,71965,58,42
97,+,89479,46,91
113,-,52810,53,99
97,+,60736,27,41
113,-,73271,4,43
113,/,2296,44,52
113,+,60444,4,106
113,+,62226,82,45
113,+,92437,55,58
113,+,95111,112,77
97,/,81815,28,11
97,/,17531,6,11
97,/,22452,41,62
97,-,41477,62,93
97,+,57363,62,1
113,/,87038,17,34
113,/,88178,22,53
97,-,69912,87,82
113,-,99188,33,54
113,-,33576,83,45
97,/,9230,42,25
97,+,35467,25,87
113,/,60716,35,39
113,+,56838,18,17
113,+,53879,77,55
113,+,98030,18,77
97,+,66367,96,18
97,/,84026,37,39
97,-,47058,96,14
97,/,90189,5,92
113,+,46646,110,87
113,+,45066,5,97
97,-,27813,48,23
97,+,45681,61,55
97,-,81442,74,82
97,/,69658,44,31
113,/,90082,82,81
97,-,66367,40,76
113,-,88107,87,106
97,+,66969,32,71
97,/,24752,41,21
97,/,45468,51,18
97,+,70596,31,11
97,/,57363,71,31
97,/,2688,12,30
97,+,45468,20,92
97,/,95595,38,90
97,-,9297,41,41
97,/,85802,48,41
113,-,45819,4,50
113,+,2527,92,20
113,+,32155,3,66
97,-,66969,88,48
113,/,3935,66,59
113,+,65979,8,108
113,/,53879,9,110
97,-,89479,95,47
113,/,40483,23,65
97,/,9297,31,8
113,/,85237,46,44
97,+,97913,4,44
97,-,84026,66,55
97,-,55447,14,46
113,-,18628,22,74
97,-,5956,13,26
113,-,95111,66,12
